number;name;stereotype
0;Situation;situation
0;Disposition;category
0;Attack;event
0;Impact Event;event
0;Threatening Situation Type;type
0;Event;event
0;Risk Enabler;roleMixin
0;Event Type;type
0;Controlled Situation;situation
0;Risk Subject;roleMixin
0;Protection Trigger;situation
0;Vulnerability;roleMixin
0;Control Capability;roleMixin
0;Risk Event Type;type
0;Attacker;roleMixin
0;Risk Assessor;roleMixin
0;Vulnerability Type;type
0;Object Value Asc.;subkind
0;Generic Intention;category
0;Object at Risk;roleMixin
0;Loss Event Type;type
0;Threat Event;event
0;Security Mechanism;roleMixin
0;Control Chain Event;event
0;Impactful Outcome;situation
0;Security Designer;roleMixin
0;Control Event;event
0;Value;quality
0;Experience Risk Assesment;subkind
0;Risk;quality
0;Value Ascription;relator
0;Threat Object;roleMixin
0;Trigger Event;event
0;Risk Assessment;relator
0;Control Event Type;type
0;Risk Event;event
0;Intention;category
0;Protected Subject;roleMixin
0;Threat Capability;roleMixin
0;Threatening Situation;situation
0;Risk Experience;event
0;Agent;category
0;Action;event
0;Value Object;roleMixin
0;Intention Type;type
0;Loss Event;event
0;Value Experience;event
0;Controlled Situation Type;type
0;Loss Triggering Situation Type;type
0;Value Enabler;roleMixin
0;Value Assessor;roleMixin
0;Loss Situation;situation
0;Triggering Likelihood;quality
0;Experience Value Asc.;subkind
0;Situation Type;type
0;Value Event;event
0;Object Risk Assesment;subkind
0;Threat Event Type;type
0;Specific Intention;category
0;Value Subject;roleMixin
0;Protection Event;event
0;Causal Likelihood;quality
0;Threat Capability Type;type
2;Foreign Key Column;role
2;Single Entity Table;role
2;Entity Superclass;role
2;Entity Table;role
2;Primary Key Mapping;relator
2;Entity Class;role
2;Instance Variable;subkind
2;One To One Relationship Mapping;relator
2;Mapped Foreign Key;role
2;Mapped Primary Key;role
2;Table per Concrete Class Inheritance Mapping;relator
2;Column;kind
2;Inheritance Mapping;relator
2;Spuerclass;role
2;Variable Mapping;relator
2;Subclass;role
2;Relationship Association Table;role
2;One To Many Relationship Mapping;relator
2;Extendable Class;subkind
2;Mapped Variable;role
2;Inheritance;relator
2;Single Table Inheritance Mapping;relator
2;Entity Subclass;role
2;Class;kind
2;Relationship Mapping;relator
2;Class Mapping;relator
2;Many To One Relationship Mapping;relator
2;Table;kind
2;Table per Class Inheritance Mapping;relator
2;Multiple Entities Table;role
2;Foreign Key Mapping;relator
2;Primary Key Column;role
2;Nullability;quality
2;Many to Many Relationship Mapping;relator
3;Jogo qua agente;role
3;Regra;kind
3;Usabilidade;datatype
3;QualidadeMecânica;quality
3;Final da partidade de videogame;situation
3;QualidadeDesign;quality
3;Jogar;relator
3;Inicio da partida de videogame;situation
3;Gameplay;event
3;MedidaQualidadeMecânica;datatype
3;MedidaQualidadeRegra;datatype
3;Jogador;role
3;Design;kind
3;Jogabilidade;quality
3;Pessoa;kind
3;Jogo de Videogame (software);kind
3;Mecânica;kind
3;QualidadeRegra;quality
3;MedidaQualidadeDesign;datatype
4;Endurant;category
4;Impactful Outcome;situation
4;Risk Experience;event
4;Disposition;category
4;Object Risk Assess.;subkind
4;Root Cause Event;event
4;Loss Situation;situation
4;Substantial;category
4;Loss Ascription;subkind
4;Threat Agent;roleMixin
4;Capability;roleMixin
4;Risk Assessor;roleMixin
4;Risk Enabler;roleMixin
4;Value Enabler;roleMixin
4;Value Perception;subkind
4;Experience Value Asc.;subkind
4;Object;category
4;Object Value Asc.;subkind
4;Relator;category
4;Risk Event;event
4;Value Assessor;roleMixin
4;Valuation;event
4;Threat Event;event
4;Experience Risk Assessment;subkind
4;Object at Risk;roleMixin
4;Gain Ascription;subkind
4;Value Asc. Ex Ante;subkind
4;Value Experience;event
4;Triggering Likelihood;quality
4;Action;event
4;Value Ascription;relator
4;Opportunity Event;event
4;Impact Event;event
4;Quality;category
4;Gain Event;event
4;Risk Assessment;subkind
4;Attack;event
4;Situation Type;type
4;Event Type;type
4;Value;quality
4;Causal Likelihood;quality
4;Value Event;event
4;Event;event
4;Threat Object;roleMixin
4;Mental Aspect;category
4;Threat Capability;roleMixin
4;Trigger Event;event
4;Loss Event;event
4;Risk Subject;roleMixin
4;Vulnerability;roleMixin
4;Value Object;roleMixin
4;Value Asc. Component;relator
4;Value Assertion;subkind
4;Value Asc. Ex Post;subkind
4;Hazardous Situation;situation
4;Trope;category
4;Likelihood;category
4;Intention;category
4;Risk;subkind
4;Mode;category
4;Agent;category
4;Situation;situation
4;Value Subject;roleMixin
5;Office;subkind
5;Assignment;relator
5;Service Station;phase
5;Board;subkind
5;Border Station;phase
5;Allocated Department;role
5;Structure;category
5;Administrative Organization;subkind
5;Person;kind
5;Server Allocation;relator
5;Central Office;phase
5;Finalistico;phase
5;Ancillary Service;phase
5;Advisory;subkind
5;Allocated Office;role
5;Local Office;phase
5;Occupational Group;collective
5;Land Development Technician;subkind
5;Laboratory Technician;subkind
5;Technical Department;subkind
5;Regional Office;phase
5;Operational Structure;kind
5;Section;subkind
5;Animal Health Inspector;subkind
5;Allocation Unit;role
5;Department Allocation;relator
5;Administrative Department;subkind
5;Organizational Structure;category
5;Station;subkind
5;Natural Resources Technician;subkind
5;Administrative Structure;kind
5;Mobile Unit;subkind
5;Occupational Structure;category
5;Administrative Support;subkind
5;Operational Organization;subkind
5;Position;kind
5;Diagnostic Laboratory;subkind
