name;stereotype;number;description;inferred_stereotype
(E) E-Installaties;subkind;92;Electrical installations (Assuming this represents a product or component related to electrical installations);kind
(E) Wanden;subkind;92;Walls (Assuming this represents a product or component related to walls);kind
(F) Vloeren;subkind;92;Flooring (Assuming this represents a product or component related to flooring);kind
(G) Daken;subkind;92;Roofs (Assuming this represents a product or component related to roofs);kind
(L) LosLeveren;subkind;92;Separate Delivery (Assuming this represents a concept related to a specific delivery method);kind
(Q) Afwerking;subkind;92;Finishing (Assuming this represents a product or component related to finishing work);kind
(S) Sanitair;subkind;92;Sanitary ware (Assuming this represents a product or component related to sanitary ware);kind
(W) W-Installaties;subkind;92;Water installations (Assuming this represents a product or component related to water installations);kind
(Y) Kozijnen;subkind;92;Window frames (Assuming this represents a product or component related to window frames);kind
(Z) Fundering;subkind;92;Foundation (Assuming this represents a product or component related to foundations);kind
(motivating) INTENTION;mode;61;An intention that serves as a driving force or motivation for action. ;subkind
...;subkind;114;;None
....;subkind;114;;None
1 Gbps Port;subkind;128;A communication port that is capable of transmitting data at a rate of 1 gigabit per second.;subkind
10 Gbps Port;subkind;128;A communication port that is capable of transmitting data at a rate of 10 gigabits per second.;subkind
:Attribution RoleValue;datatype;86;Unclear without more context. May be a specific value assigned to an attribution role.;None
:AttributionRole;subkind;86;;None
:CataloguedData DescriptorType;kind;86;Unclear without more context. May refer to the type of descriptor for catalogued data.;type
:CataloguedResource DescriptorType;category;86;Unclear without more context. Might indicate the type of a descriptor used for catalogued resources.;type
:DatasetDescriptorType;subkind;86;Indicates the type or category of a dataset descriptor.;type
:RelationRole;subkind;86;Unclear without more context. Likely refers to a role within a relationship.;roleMixin
:RelationRole Value;datatype;86;Unclear without more context. May be a value assigned to a specific relation role.;None
:Relation_isOwner;relator;86;Unclear without more context. May indicate a relationship where one entity is the owner of another.;relator
:SourceDescriptor Type;roleMixin;86;Unclear without more context. Potentially refers to the type or category of a source descriptor.;type
:TargetDataset Type;role;86;Unclear without more context. May refer to the type of a dataset that is the target of something.;type
<Causation> Causation;relator;87;;None
<Consequence For Agent> Consequence For Agent;situation;87;;None
<Detained Group> Detained Group;role;87;;None
<Detained Person> Detained Person;role;87;;None
<Detainment Conditions> Detainment Conditions;situation;87;;None
<Detention Centre> Detention Centre;role;87;;None
<Digital File> Digital File;kind;87;;None
<Human Rights Instrument> Human Rights Instrument;kind;87;;None
<Human Rights Mechanism> Human Rights Mechanism;subkind;87;;None
<Human Rights Standard> Human Rights Standard;kind;87;;None
<Human Rights Violation> Human Rights Violation;phase;87;;None
<Information Piece> Information Piece;kind;87;;None
<Legal Process Relation> Legal Process Relation;relator;87;;None
<Legally Defined Human Rights Violation> Legally Defined Human Rights Violation;event;87;;None
<Membership> Membership;relator;87;;None
