name;description;inferred_stereotype
Generic Intention;A general or broad intention without specific details.;category
Threat Event;An event that poses a threat or danger.;event
Action;A physical movement or series of movements.;event
Controlled Situation Type;A type or category of situation that is under control or management.;type
Attacker;An entity that initiates an attack or offensive action.;roleMixin
Agent;An entity that acts or has the capacity to act.;category
Threat Object;An object that poses a threat or danger.;roleMixin
Risk;The possibility of loss or injury.;quality
Threat Capability Type;A type or category of threat capability.;type
Value Event;An event that affects or relates to value.;event
Situation;A set of circumstances in which one finds oneself.;situation
Threatening Situation;A situation that poses a threat or danger.;situation
Experience Value Asc.;The ascription of value based on experience.;subkind
Value Enabler;An entity or factor that enables or facilitates the creation or realization of value.;roleMixin
Protected Subject;An entity that is protected or safeguarded from harm.;roleMixin
Intention Type;A type or category of intention.;type
Loss Triggering Situation Type;A type or category of situation that can trigger a loss.;type
Impact Event;An event that causes or results in an impact.;event
Risk Enabler;An entity or factor that enables or increases the likelihood of risk.;roleMixin
Vulnerability Type;A type or category of vulnerability.;type
Specific Intention;A specific or detailed intention.;category
Threat Capability;The ability or capacity to pose a threat or danger.;roleMixin
Impactful Outcome;An outcome that has a significant impact or effect.;situation
Risk Experience;The experience of being exposed to or affected by risk.;event
Experience Risk Assesment;The assessment of risk based on experience.;subkind
Security Mechanism;A process, device, or method used to protect information or a system.;roleMixin
Situation Type;A type or category of situation.;type
Object Value Asc.;The ascription of value to an object.;subkind
Risk Event;An event that has the potential to cause harm or loss.;event
Control Chain Event;An event that is part of a chain of events that are designed to control or mitigate a risk.;event
Value Object;An object that has value or is associated with value.;roleMixin
Vulnerability;A weakness or flaw that can be exploited to cause harm or loss.;roleMixin
Control Event;An event that involves controlling or managing something.;event
Loss Event Type;A type or category of event that results in a loss.;type
Object at Risk;An object that is exposed to or at risk of harm or loss.;roleMixin
Attack;An aggressive action.;event
Loss Situation;A situation that involves or results in a loss.;situation
Threat Event Type;A type or category of event that is threatening.;type
Disposition;A person's inherent qualities of mind and character.;quality
Value Experience;The experience or perception of value by an individual or entity.;event
Protection Event;An event that provides protection or safeguards against harm or loss.;event
Value;The worth, importance, or usefulness of something.;quality
Control Event Type;A type or category of control event.;type
Risk Subject;An entity that is exposed to or affected by risk.;roleMixin
Control Capability;The ability or capacity to control or manage something.;roleMixin
Security Designer;An entity that designs or develops security measures or systems.;role
Event Type;A type or category of event.;type
Causal Likelihood;The likelihood or probability of a cause-and-effect relationship.;quality
Risk Assessment;The process of identifying, analyzing, and evaluating risks.;relator
Risk Event Type;A type or category of event that involves risk.;type
Event;An occurrence or happening that has a specific time and place.;event
Intention;An aim or plan.;category
Controlled Situation;A situation that is under control or management.;situation
Value Assessor;An entity that assesses or evaluates value.;roleMixin
Threatening Situation Type;A type or category of situation that is threatening.;type
Trigger Event;An event that initiates or sets off a chain of events or actions.;event
Object Risk Assesment;The assessment of risk associated with an object.;subkind
Value Subject;An entity that is the subject of a value judgment.;roleMixin
Loss Event;An event that results in a loss.;event
Value Ascription;The act of assigning or attributing value to something.;relator
Protection Trigger;An event or condition that initiates or triggers protection measures.;situation
Triggering Likelihood;The likelihood or probability of something triggering an event or outcome.;quality
Risk Assessor;An entity that assesses or evaluates risk.;roleMixin

Event;An occurrence that happens at a specific time and place.;event
Accident;An unexpected event, typically involving damage or injury.;event
Ground Object;Any object located on the ground within the context of aviation (e.g., buildings, vehicles, obstacles).;kind
Aerodrome;A location designed for aircraft takeoffs and landings, including runways, taxiways, and other facilities.;kind
Flight;The act of flying, or a journey made by air, especially by aircraft.;kind
Aerodrome Part;A component or part of an aerodrome, such as a runway or taxiway.;subkind
Spatial Object;An object that has a defined location in space.;category
Cabin Crew;The team of personnel on an aircraft responsible for the safety and comfort of passengers.;collective
Aircraft;A machine capable of flight, typically heavier than air and propelled by engines.;kind
Action;A discrete, purposeful activity performed by an agent.;event
Crew;A group of people working together, typically on a ship or aircraft.;collective
Landing;The act of bringing an aircraft down to the ground from the air.;event
Physical Object;An object that has physical properties and exists in the real world.;category
Aircraft Part-i;A component or part of an aircraft (the '-i' suggests an individual part, possibly to distinguish from a collective).;subkind
Object;A material thing.;category
