name;inferred_stereotype;explanation
Acumulation;situation;A situation is an occurrent type that is instantaneous, it represents a state of affairs, that holds or not in a given instant of time, an aggregation of other entities that characterizes a state of affairs. In this specific domain, Acumulation represents a state of affairs in which oil is trapped in a reservoir, so it can be considered a situation.
BoundaryType;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Boundary type seems to be a fundamental type in the domain, as it classifies different types of boudaries, so it can be considered a kind.
Structure;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Structure seems to be a fundamental type in the domain, as it classifies different types of structures, so it can be considered a kind.
Reservoir;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Reservoir seems to be a specialization of a geological structure, inheriting its characteristics, so it can be considered a subkind.
LithologicUnit qua sandstone;role;Roles are 'sortals whose contingent classification conditions are relational'. They are anti-rigid specializations of kinds. In this case, LithologicUnit qua sandstone represents a Lithologic Unit acting as a sandstone, which is a contingent classification, so it can be considered a role.
Trap;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Trap seems to be a specialization of a geological structure, inheriting its characteristics, so it can be considered a subkind.
Rock;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Rock seems to be a fundamental type in the domain, as it classifies different types of rocks, so it can be considered a kind.
Porosity;quality;An instance of a class stereotyped quality is a particularized property that can be understood as a value in a conceptual space. Porosity represents a measurable property of rocks, so it can be considered a quality.
Lithological unit;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Lithological unit seems to be a fundamental type in the domain, as it classifies different types of lithological units, so it can be considered a kind.
Oil + Trap;situation;A situation is an occurrent type that is instantaneous, it represents a state of affairs, that holds or not in a given instant of time, an aggregation of other entities that characterizes a state of affairs. Oil + Trap represents the state of affairs in which oil is contained within a trap, so it can be considered a situation
Oil;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Oil, as a natural resource, can be considered a kind, as it classifies different types of oil
LithologicUnit qua shale;role;Roles are 'sortals whose contingent classification conditions are relational'. They are anti-rigid specializations of kinds. In this case, LithologicUnit qua shale represents a Lithologic Unit acting as a shale, which is a contingent classification, so it can be considered a role.
Boundary;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Boundary represents a specific type of geological feature, so it can be considered a subkind.
Quantity Organic matter;quantity;An instance of a class stereotyped quantity is a portion of home- omerous amount of matter. Organic matter, in this context, seems to refer to a measurable amount, so it can be considered a quantity
Seal;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Seal, in a geological context, represents a specific type of geological formation, so it can be considered a subkind
Dimensions;quality;An instance of a class stereotyped quality is a particularized property that can be understood as a value in a conceptual space. Dimensions refer to measurable spatial extents, so it can be considered a quality.
