name;description;inferred_stereotype
State;A condition or status of a system or object at a specific point in time.;situation
Key;A piece of information that is used to identify or access something.;roleMixin
State Variable;A variable that holds the current state of a system or object.;roleMixin
Account Wallet;A digital wallet used to store and manage cryptocurrency accounts.;kind
Event;An occurrence or happening that triggers a change in state.;event
Function;A self-contained module of code that performs a specific task.;kind
Goal;A desired outcome or objective to be achieved.;kind
Initiator;An entity or actor that triggers or initiates a process or event.;role
Data Object;A representation of a collection of data, often structured in a specific format.;kind
Physical Object;A tangible and material object that exists in the real world.;kind
External Actor;An entity outside the system that interacts with the system.;role
Contract Storage;A persistent storage space associated with a smart contract.;kind
Transaction Phase;A stage or step in the execution of a transaction.;phase
Fact;A statement or piece of information that is true or can be verified.;kind
Process Participant;An entity or actor involved in a process.;role
Value;The worth, importance, or usefulness of something.;quality
Business Object;A representation of a concept or entity relevant to a business domain.;kind
Transaction;An execution of a function or operation in a blockchain.;event
Business Artifact;A physical or digital document or object used in a business process.;kind
Business Rule;A constraint or guideline that governs a business process or activity.;kind
Payload;The data or information carried within a transaction or message.;roleMixin
Artificial Object;An object created or manufactured by humans.;kind
Agent;An entity that can act or perform actions.;role
Lifecycle Stage;A distinct phase in the lifespan of an object or system.;phase
Off-chain Storage;Data storage that is not on the blockchain.;kind
Smart Contract;A self-executing contract with the terms of the agreement directly written into code.;kind
Block;A container that holds a group of transactions in a blockchain.;kind
Blockchain;A distributed, immutable ledger that records transactions across a network.;kind
Artificial Agent;An agent that is not a human, such as a bot or AI system.;kind
Business Artifact Type;A category or classification of business artifacts.;kind
Process Contract;A contract that defines the terms of a business process.;kind
Act;A discrete action or event.;event
Inter-organizational Process;A business process that involves multiple organizations.;kind
Service;A function or capability provided by a system or component.;kind
Executor;An entity that carries out or executes a task or process.;role
Transaction Trie;A data structure used to store and organize transactions in a blockchain.;kind
Human Agent;An agent that is a human being.;kind
name;description;inferred_stereotype
Siliciclastic Rock;Rocks primarily composed of silicate minerals and fragments derived from other rocks, especially by weathering and erosion.;kind
Lithological unit;A body of rock characterized by a relatively uniform lithology, i.e., by its rock type.;kind
Oil + Mudstone + Porous Rock;This seems to be a grouping of elements for some specific context. Without further information, it's difficult to assign a single stereotype.;
Accumulation;The process of oil and gas gathering in a trap within the Earth's subsurface.;event
Hidrocarbon;"Organic compounds consisting entirely of hydrogen and carbon; often refers to petroleum and natural gas.";kind
Migration;The movement of hydrocarbons from their source rock to a reservoir or trap.;event
Granulometry;The study of the size distribution of particles in a material, such as sand or sediment, important for characterizing rocks.;kind
Rock;A naturally occurring solid aggregate of one or more minerals.;kind
Value;The economic worth of a resource like oil.;quality
Oil + Porous rock;Similar to 'Oil + Mudstone...', needs context to determine a meaningful single stereotype.;
Sandstone;A clastic sedimentary rock composed mainly of sand-sized mineral particles.;subkind
LithologicUnit qua sandstone;A lithologic unit specifically composed of sandstone. 'Qua' suggests a role or view of the unit.;roleMixin
Structure;The arrangement of and relations between parts or elements of a rock body, such as folds or faults, influencing hydrocarbon trapping.;kind
Shale;A fine-grained clastic sedimentary rock formed from mud, often rich in organic matter (potential source rock).;subkind
Reservoir;A subsurface rock formation that contains hydrocarbons, characterized by porosity and permeability.;role
Oil;A liquid fossil fuel formed from the remains of ancient marine organisms.;subkind
contact;The surface or zone where two different rock units meet.;kind
Generation;The process of hydrocarbons forming from organic matter in source rocks under heat and pressure.;event
Dimensions;The physical measurements of a rock unit, like length, width, and thickness.;quality
Source Rock;A rock with abundant organic matter that, under heat and pressure, generates hydrocarbons.;role
Boundary Type;Classification of the nature of a boundary between rock units, e.g., sharp, gradational.;kind
Trap;A geological structure that stops the upward migration of hydrocarbons, allowing them to accumulate.;role
LithologicUnit qua shale;A lithologic unit specifically made of shale. Again, 'qua' implies a role or specific perspective.;roleMixin
Porosity;The percentage of void space in a rock, critical for holding fluids like oil.;quality
Oil + Trap;Lacks context for a single stereotype. May represent a relation (oil contained in a trap).;
Seal;An impermeable rock layer that prevents hydrocarbons from escaping a trap.;role
Pre-generation;Refers to the state or conditions before the generation of hydrocarbons.;phase
Quantity Organic matter;The amount of organic material present, crucial for source rock potential.;quality
Boundary;The interface separating different rock units.;kind
name;description;inferred_stereotype
Person;A human being.;kind
Budget;An estimate of income and expenditure for a set period of time.;kind
Personal Customer;An individual who buys products or services for personal use.;role
Subtstage;A smaller stage or phase within a larger process.;phase
Allocation;The action or process of allocating or distributing something.;relator
Agent;A person or thing that takes an active role or produces a specific effect.;role
Organization;An organized group of people with a particular purpose, such as a business or government department.;kind
Photo;A picture taken with a camera.;kind
Employee;A person employed for wages or salary, especially at non-executive level.;role
Construction Work;The work of constructing something, especially buildings, bridges, etc.;subkind
Customer;A person or organization that buys goods or services from a store or business.;role
Stage;A point, period, or step in a process or development.;phase
Organizational Customer;A business or organization that buys products or services for use in their operations.;role
name;description;inferred_stereotype
Failure State;A state in which a system or component is no longer able to perform its required functions.;situation
Erroneous User Action;An action performed by a user that is incorrect or invalid.;subkind
Intentional User-generated Failure;A failure that is caused intentionally by a user.;subkind
Program;A set of instructions that can be executed by a computer.;kind
User Action;An action performed by a user.;subkind
Belief;An acceptance that something exists or is true, especially one without proof.;kind
Failure;The state or condition of not meeting a desirable or intended objective.;event
Usage Limit Vulnerability;A vulnerability that arises from the way a system or component is used, such as exceeding a usage limit.;subkind
Action;The fact or process of doing something, typically to achieve an aim.;event
Loaded Program Vulnerability;A vulnerability that exists in a program that is loaded into memory and available for execution.;subkind
Fault Manifestation Failure;A failure that occurs when a fault is present but does not result in a failure effect.;subkind
Vulnerable State;A state in which a system or component is susceptible to attack or compromise.;situation
User False Belief;A belief held by a user that is not true.;subkind
Disposition;A person's inherent qualities of mind and character.;kind
Non-intentional User-generated Failure;A failure that is caused unintentionally by a user.;subkind
Object;A material thing that can be seen and touched.;category
Hardware Equipment;The physical components of a computer system.;kind
User;A person who uses a computer or network service.;role
Intention;"A thing intended; an aim or plan.";kind
Hardware Vulnerability;A weakness in the design or implementation of hardware that can be exploited to compromise the security of a system.;subkind
Artifact;An object made by a human being, typically of cultural or historical interest.;kind
Vulnerability;A weakness or gap in a system's defenses that can be exploited by a threat to gain unauthorized access.;kind
Code;A system of words, letters, figures, or other symbols substituted for other words, letters, figures, etc., especially for the purposes of secrecy.;kind
Defect;A shortcoming, imperfection, or lack.;kind
Event (Perdurant);Something that happens at a particular time and place and viewed as a self-contained occurrence.;event
Situation;"A set of circumstances in which one finds oneself; a state of affairs.";situation
Agent;A person or thing that takes an active role or produces a specified effect.;role
User-generated Failure;A failure that is caused by the actions of a user.;subkind
Loaded Program Copy;A copy of a program that is loaded into memory and available for execution.;subkind
User Malicious Intention;The intention of a user to cause harm or damage.;subkind
Endurant;An entity that can be located in space and continues to exist through time while maintaining its identity.;category
Mental Moment;A brief period of time during which a particular thought or feeling is experienced.;subkind
Fault (Runtime Defect);An abnormal condition that may occur during the execution of a program.;kind
Stakeholder;A person with an interest or concern in something, especially a business.;role
name;description;inferred_stereotype
Community;A group of people living in the same place or having a particular characteristic in common.;collective
Technology;The application of scientific knowledge for practical purposes, especially in industry.;kind
Syntactic Object;An object defined by its structure and relationships to other syntactic objects, often in the context of formal languages or computer science.;role
Bitstring;A sequence of bits, representing data in a computer system.;kind
Social Object;An object that gains meaning or significance through social interaction or shared understanding within a community.;role
Technical Identity of Object;The set of characteristics that uniquely define an object from a technical perspective.;subkind
Object Structure;The arrangement of and relationships between the parts or elements of an object.;kind
Material;The matter from which a thing is or can be made.;kind
Data File;A computer file that contains data, often organized in a specific format.;kind
Digital Object;An object that exists in digital form, represented by discrete units of data.;subkind
Digital Technology;Technology that uses digital circuits and devices to process and store information.;subkind
Hybrid;An entity or object that combines elements of different types or categories.;roleMixin
Object Function;The purpose or use of an object.;kind
Component Part;A constituent element of a larger object or system.;role
Nonmaterial;Not consisting of or relating to physical matter.;phaseMixin
Technological Object;An object created or modified using technology.;subkind
Program File;A computer file containing instructions that can be executed by a computer.;kind
Physical Object;An object that exists in the physical world and has material properties.;subkind
Object;A material thing that can be seen and touched.;kind
name;description;inferred_stereotype
Publisher;An organization responsible for producing and distributing publications.;role
Organization;A structured group of people with a common purpose.;kind
Employee;A person employed by an organization.;role
Address;A location for postal delivery.;kind
Loan;The act of lending something, typically money, for a set period.;relator
Librarian;A person who works in a library, managing and organizing books.;role
Series;A group of related works published in succession.;collective
Client;A person or organization using the services of a professional or organization.;role
Age;The length of time a person or thing has existed.;quantity
Active Account;An account that is currently open and usable.;phase
Writer;A person engaged in writing books, articles, or other written works.;role
Suspended Account;An account that is temporarily unavailable for use.;phase
Data Medium;A physical object or format used to store data.;kind
Library Account;An account providing borrowing privileges at a library.;kind
Newspaper;A periodical publication containing news, articles, and advertisements.;kind
Artifact;An object made by human workmanship.;kind
Registration;The act of recording information formally.;relator
Chapter;A main division within a book.;subkind
Library Number;A unique identifier assigned to a library item.;kind
Video Recording;A recording of moving images and sound.;kind
Object;A material thing.;kind
Ongoing;"Continuing; still in progress.";phase
Translator;A person who translates from one language into another.;role
Edition;A particular version of a published text.;subkind
Digitized;Converted from analog to digital form.;mode
Translated Edition;An edition of a work that has been translated into another language.;subkind
Destroyed;Ended or ruined completely.;phase
Lent Copy;A copy of a book that has been lent out by a library.;role
Article;A piece of writing included with others in a newspaper, magazine, or other publication.;kind
Woman;An adult female human being.;subkind
Patent;A government authority or license conferring a right or title for a set period, especially the sole right to exclude others from making, using, or selling an invention.;kind
Translation;The process of translating words or text from one language into another.;relator
Proceedings;An event or a series of activities involving a formal or set procedure.;kind
Library Card;A card identifying the holder as being entitled to use a library.;kind
Publication;The preparation and issuing of a book, journal, piece of music, or other work for public sale.;kind
Registered Person;A person whose name has been entered formally in a register.;role
Authorship;The state or fact of being the writer of a book, article, or other work.;relator
Finished;"Brought to an end; completed.";phase
Recording;The action or process of recording sounds or moving images.;kind
Man;An adult male human being.;subkind
Book;A written or printed work consisting of pages glued or sewn together along one side and bound in covers.;kind
Damaged;Physically harmed or injured.;phase
Undamaged;Not harmed or damaged.;phase
Available;"Able to be used or obtained; at someone's disposal.";phase
Work;A thing produced by someone or something.;kind
Access Clearance;Authorization to access certain information or areas.;kind
Work Contract;A legal agreement outlining terms and conditions of employment.;kind
Sound Recording;A recording of sound vibrations.;kind
Document;A piece of written, printed, or electronic matter that provides information or evidence.;kind
Borrowed;Taken or obtained on loan.;phase
Person;A human being regarded as an individual.;kind
Copy;A thing made to be similar or identical to another.;kind
Registered Organization;An organization whose name is formally listed on a register.;role
Library;A building or room containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer to.;kind
Discarded;Thrown away or disposed of.;phase
name;description;inferred_stereotype
Bi Path CFTE;A bidirectional path in a Channel Forwarding Transport Entity (CFTE).;subkind
Active Sk Path-FEP - Path NC connected;An active connection between a Subnetwork (Sk) Path Forwarding End Point (FEP) and a Path Network Connection (NC).;situation
Active Bidirectional PM-FEP - PM NC Connected;An active connection between a bidirectional Physical Media (PM) Forwarding End Point (FEP) and a PM Network Connection (NC).;situation
Source A-FEP Binding;The binding of a source Adaptation (A) Forwarding End Point (FEP).;situation
Bidirectional PM-FEP;A bidirectional Physical Media (PM) Forwarding End Point (FEP).;subkind
Bidirectional SN-FP;A bidirectional Subnetwork (SN) Forwarding Point (FP).;subkind
Source SN-FP Bi Component;A bidirectional component of a source Subnetwork (SN) Forwarding Point (FP).;subkind
Bi Matrix - A Bi Connected;A bidirectional Matrix connected to a bidirectional Adaptation (A).;situation
Bidirectional Termination;A termination point that is bidirectional.;subkind
Single Equipment Site Component;A component of a site that consists of a single piece of equipment.;subkind
Physical Media Output;The output of a physical media component.;subkind
Bidirectional Adaptation;An adaptation function that is bidirectional.;subkind
Uni Subnetwork - A Sk Connected;A unidirectional Subnetwork connected to an Adaptation (A) Subnetwork (Sk).;situation
Source Path FEP;The source Forwarding End Point (FEP) of a path.;subkind
Unidirectional LC;A unidirectional Link Connection (LC).;subkind
Bi Path MC;A bidirectional path in a Multiplex Connection (MC).;subkind
